Epoch 1: Validation Loss = 0.5161, Validation Accuracy = 0.7756
Epoch 2: Validation Loss = 0.4599, Validation Accuracy = 0.8289
Epoch 3: Validation Loss = 0.3712, Validation Accuracy = 0.8489
Epoch 4: Validation Loss = 0.3682, Validation Accuracy = 0.8622
Epoch 5: Validation Loss = 0.5366, Validation Accuracy = 0.8378
Epoch 6: Validation Loss = 0.4192, Validation Accuracy = 0.8600
Epoch 7: Validation Loss = 0.3780, Validation Accuracy = 0.8711
Epoch 8: Validation Loss = 0.3600, Validation Accuracy = 0.9089
Epoch 9: Validation Loss = 0.3906, Validation Accuracy = 0.8867
Epoch 10: Validation Loss = 0.4925, Validation Accuracy = 0.8778
Epoch 11: Validation Loss = 0.4206, Validation Accuracy = 0.9000
Epoch 12: Validation Loss = 0.4234, Validation Accuracy = 0.8911
Epoch 13: Validation Loss = 0.4753, Validation Accuracy = 0.8956
Epoch 14: Validation Loss = 0.5431, Validation Accuracy = 0.9000
Epoch 15: Validation Loss = 0.5078, Validation Accuracy = 0.8889
Epoch 16: Validation Loss = 0.5193, Validation Accuracy = 0.9044
Epoch 17: Validation Loss = 0.5972, Validation Accuracy = 0.8933
Epoch 18: Validation Loss = 0.5507, Validation Accuracy = 0.9044
Epoch 19: Validation Loss = 0.5886, Validation Accuracy = 0.8867
Epoch 20: Validation Loss = 0.6507, Validation Accuracy = 0.8978
Epoch 21: Validation Loss = 0.6723, Validation Accuracy = 0.8956
Epoch 22: Validation Loss = 0.6172, Validation Accuracy = 0.8956
Epoch 23: Validation Loss = 0.6118, Validation Accuracy = 0.8844
Epoch 24: Validation Loss = 0.6866, Validation Accuracy = 0.8889
Epoch 25: Validation Loss = 0.6109, Validation Accuracy = 0.8978
Epoch 26: Validation Loss = 0.6043, Validation Accuracy = 0.8711
Epoch 27: Validation Loss = 0.5839, Validation Accuracy = 0.8933
Epoch 28: Validation Loss = 0.6128, Validation Accuracy = 0.9022
Epoch 29: Validation Loss = 0.5877, Validation Accuracy = 0.9044
Epoch 30: Validation Loss = 0.6549, Validation Accuracy = 0.9044
Epoch 31: Validation Loss = 0.6555, Validation Accuracy = 0.8867
Epoch 32: Validation Loss = 0.5786, Validation Accuracy = 0.8956
Epoch 33: Validation Loss = 0.5773, Validation Accuracy = 0.8933
Epoch 34: Validation Loss = 0.6560, Validation Accuracy = 0.9111
Epoch 35: Validation Loss = 0.7302, Validation Accuracy = 0.8956
Epoch 36: Validation Loss = 0.7187, Validation Accuracy = 0.8889
Epoch 37: Validation Loss = 0.5358, Validation Accuracy = 0.9133
Epoch 38: Validation Loss = 0.6669, Validation Accuracy = 0.9067
Epoch 39: Validation Loss = 0.6719, Validation Accuracy = 0.8800
Epoch 40: Validation Loss = 0.6489, Validation Accuracy = 0.8956
Epoch 41: Validation Loss = 0.6117, Validation Accuracy = 0.8911
Epoch 42: Validation Loss = 0.6601, Validation Accuracy = 0.9022
Epoch 43: Validation Loss = 0.6792, Validation Accuracy = 0.8933
Epoch 44: Validation Loss = 0.6637, Validation Accuracy = 0.9111
Epoch 45: Validation Loss = 0.6169, Validation Accuracy = 0.9044
Epoch 46: Validation Loss = 0.8948, Validation Accuracy = 0.8756
Epoch 47: Validation Loss = 0.5662, Validation Accuracy = 0.9089
Epoch 48: Validation Loss = 0.5839, Validation Accuracy = 0.9000
Epoch 49: Validation Loss = 0.7539, Validation Accuracy = 0.8800
Epoch 50: Validation Loss = 0.6847, Validation Accuracy = 0.9133
